size_label,nominal_in,tool_tolerance_plus_in,tool_tolerance_minus_in,availability_tier,preferred_rank,source_family,source_urls,notes
0.1590,0.1590,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.1610,0.1610,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.1850,0.1850,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.1860,0.1860,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.1870,0.1870,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
3/16,0.1875,0.0002,0.0000,preferred,1,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Preferred aircraft size; overlaps standard aircraft decimal reference charts."
0.1985,0.1985,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2000,0.2000,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2031,0.2031,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
0.2130,0.2130,0.0002,0.0000,common,,aircraft_reamer_catalog,"https://www.panamericantool.com/high-speed-steel-piloted-reamers.html; https://www.rockrivertool.com/wp-content/uploads/2024/05/Rock-River-Catalog.pdf; https://omegatec.com/Omega-Technologies-2023-Catalog.pdf","Pan American aircraft repair catalog entry; NAS897 tolerance band from Rock River."
